patient,psnr,ssim,ms_ssim,vif,sd,en,mse,mae
1BC054,30.677305047925095,0.8109319134657845,0.9298392581939697,0.2755111163854599,0.09344814,10.974449,0.00086900784,0.021713624
1BB011,29.630775375775528,0.7990438948462911,0.9301143184952114,0.30698684181856073,0.096735686,10.996076,0.0011059287,0.024482282
1BB082,29.365915936662073,0.8007797531179138,0.9298508866973545,0.3070728299410447,0.09590128,10.9971695,0.0011855116,0.02548855
1BC010,30.00463642417858,0.8077160025271659,0.9286098182201385,0.28418657048182056,0.10108099,10.97046,0.0010101252,0.023852186
1BB171,30.044713500448438,0.8130828020753716,0.9265189266204834,0.2801783013343811,0.08837009,11.010642,0.0010203528,0.023517514
1BB198,30.408288425711614,0.8205423118985561,0.9301083629781549,0.29163897850296716,0.09439554,11.0044565,0.000940484,0.022998689
1BC065,30.262485515353642,0.805023017510751,0.9331473141908646,0.3234881602227688,0.10645385,10.954541,0.0009469562,0.023100726
1BC039,30.039532547536187,0.8039504801658207,0.9297352376438323,0.29548180174259914,0.09612584,10.97157,0.0009984281,0.02364162
1BA184,23.66323054872451,0.7268475054151773,0.8867561197280884,0.23610160559415816,0.11840108,11.019396,0.004365074,0.05226662
1BA278,23.159166492932545,0.7159377972173105,0.8785004566113154,0.23365646476546922,0.120675065,11.027889,0.004901488,0.055787425
1BA256,23.810402138955386,0.7367287273323114,0.8860748087366422,0.23455659486353397,0.11524663,11.0261,0.0042077987,0.051776487
1BC049,30.014784278722185,0.801205092982563,0.9306896199350772,0.29624438415402954,0.102863334,10.963241,0.001007727,0.023655122
1BB017,29.62033240462207,0.7996884908706439,0.9298168773000891,0.3149190883744847,0.09987479,10.991769,0.0011060174,0.02450025
1BB090,29.6771105198786,0.8058876436892576,0.9294742941856384,0.30522062426263635,0.09992543,10.999948,0.0010904742,0.024430312
1BB091,29.216408470098404,0.79838718771294,0.9324495224725633,0.3246335174356188,0.107986726,10.986765,0.0012218355,0.026261823
1BA111,29.905123970132085,0.7983137627503201,0.9308016002178192,0.30152862270673114,0.09875377,10.972359,0.001030371,0.0239319
1BC001,30.312904115434602,0.808001182454651,0.9336547472260215,0.31812329387122934,0.10212173,10.964024,0.00093466527,0.022972701
1BB044,30.060792940599992,0.8042045736543467,0.926771322886149,0.28205609632035095,0.08411924,11.012393,0.0010178775,0.02319243
overall_average,28.881883814093978,0.7920151188715098,0.9223840829077452,0.2895324940432136,0.101248845,10.991291,0.0016088957,0.028753903
