patient,psnr_ct,ssim_ct,msssim_ct,psnr_mri,ssim_mri,msssim_mri,psnr_mean,ssim_mean,msssim_mean,vif,mse,mae,sd,en,overall
1BA075,15.868031,0.62831,0.738613,14.332385,0.277404,0.578932,17.963276,0.766455,0.832815,0.763765,0.017833,0.096486,0.197888,5.897282,0.680575
1BA100,14.230727,0.497729,0.600427,17.671128,0.298815,0.79648,17.488037,0.718937,0.831827,0.723601,0.018529,0.092342,0.212509,5.521203,0.656031
1BA103,14.055048,0.522387,0.595417,16.723421,0.269842,0.723093,17.045961,0.697299,0.792156,0.756503,0.023218,0.1001,0.20542,5.582843,0.646719
1BA116,14.655172,0.586515,0.733351,16.169555,0.243308,0.709566,18.430548,0.754109,0.858156,0.676072,0.015169,0.088477,0.190749,5.385283,0.664237
1BA151,14.542292,0.54567,0.721159,16.678255,0.244492,0.698215,18.760586,0.741751,0.852036,0.66755,0.013643,0.084367,0.184432,5.292211,0.659137
1BA175,13.737872,0.557367,0.694728,15.628894,0.245082,0.669515,17.329071,0.745317,0.829289,0.661401,0.019117,0.097438,0.212324,5.50387,0.645647
1BA307,13.589281,0.463296,0.676205,16.956372,0.306314,0.698343,18.54759,0.697406,0.821317,0.595465,0.014783,0.095448,0.189517,5.405282,0.621285
1BA345,13.112423,0.446734,0.647353,15.980223,0.294341,0.664983,17.222798,0.669423,0.798793,0.596677,0.019664,0.110087,0.216125,5.391094,0.602337
1BA358,13.67423,0.462013,0.681717,16.455068,0.295198,0.657551,18.285425,0.69218,0.813588,0.601495,0.015659,0.096182,0.195261,5.414569,0.618243
1BB002,15.865771,0.521796,0.689114,15.796337,0.332258,0.611495,17.94182,0.718394,0.767765,0.675966,0.016901,0.088049,0.190416,5.665465,0.63024
1BB026,15.097626,0.450725,0.630336,16.760186,0.366272,0.690735,18.157964,0.712773,0.790886,0.678012,0.016023,0.089956,0.200769,5.613065,0.636207
1BB179,14.716502,0.429179,0.574383,18.01069,0.369165,0.753026,18.22516,0.686759,0.783946,0.724003,0.015675,0.092403,0.189365,5.523549,0.639803
1BB200,14.992628,0.449492,0.667458,16.634801,0.330856,0.644446,17.969664,0.673323,0.769287,0.64103,0.016503,0.094385,0.19578,5.358227,0.610758
1BC009,16.656473,0.599191,0.722296,17.025305,0.337424,0.703482,19.599297,0.78504,0.829272,0.765323,0.01228,0.070087,0.168275,5.600691,0.692905
1BC036,16.943485,0.60184,0.72843,15.699364,0.313141,0.62092,18.870478,0.781,0.790435,0.762736,0.014028,0.071469,0.173105,5.701659,0.677895
1BC038,15.774346,0.5403,0.653879,16.953201,0.35083,0.699974,18.901118,0.766228,0.812927,0.749228,0.013715,0.076905,0.178466,5.608248,0.676602
1BC046,15.436627,0.536588,0.697105,17.084839,0.264375,0.720717,18.725176,0.747378,0.803335,0.706767,0.014436,0.080657,0.182872,5.408175,0.657996
1BC083,16.933388,0.592065,0.708697,15.93934,0.29132,0.654821,18.753025,0.764459,0.794456,0.777881,0.014095,0.072392,0.168022,5.645968,0.677964
1BC084,16.747191,0.574602,0.733094,16.068572,0.330088,0.598036,18.861344,0.756502,0.792659,0.761952,0.013892,0.075391,0.1699,5.627714,0.672085
OVERALL,15.085743,0.526621,0.678619,16.450944,0.303186,0.678649,18.267281,0.730249,0.808681,0.699233,0.016061,0.088033,0.190589,5.534021,0.650877
